chain;generation;mvalue;prev_value;speaker
31;0;1.0
31;1;1.0
31;2;1.0
31;3;0.8333333333333334
31;4;0.3333333333333333
31;5;0.5
31;6;0.5
31;7;0.6666666666666666
31;8;0.5
31;9;0.3333333333333333
31;10;0.0
32;0;1.0
32;1;1.0
32;2;1.0
32;3;1.0
32;4;1.0
32;5;0.16666666666666666
32;6;0.16666666666666666
32;7;0.8333333333333334
32;8;0.5
32;9;0.5
32;10;0.3333333333333333
33;0;1.0
33;1;1.0
33;2;1.0
33;3;1.0
33;4;1.0
33;5;0.5
33;6;0.5
33;7;0.5
33;8;0.3333333333333333
33;9;0.16666666666666666
33;10;0.3333333333333333
34;0;1.0
34;1;1.0
34;2;1.0
34;3;0.16666666666666666
34;4;0.16666666666666666
34;5;0.6666666666666666
34;6;0.6666666666666666
34;7;0.6666666666666666
34;8;0.8333333333333334
34;9;0.6666666666666666
34;10;0.3333333333333333
35;0;1.0
35;1;1.0
35;2;0.16666666666666666
35;3;0.0
35;4;0.0
35;5;0.0
35;6;0.0
35;7;0.0
35;8;0.0
35;9;0.0
35;10;0.0
36;0;1.0
36;1;1.0
36;2;1.0
36;3;0.5
36;4;0.0
36;5;0.0
36;6;0.16666666666666666
36;7;0.16666666666666666
36;8;0.16666666666666666
36;9;0.16666666666666666
36;10;0.0
37;0;1.0
37;1;1.0
37;2;1.0
37;3;0.5
37;4;0.8333333333333334
37;5;0.3333333333333333
37;6;0.3333333333333333
37;7;0.6666666666666666
37;8;0.8333333333333334
37;9;0.5
37;10;0.0
38;0;1.0
38;1;1.0
38;2;1.0
38;3;1.0
38;4;0.16666666666666666
38;5;0.0
38;6;0.3333333333333333
38;7;0.3333333333333333
38;8;0.5
38;9;0.5
38;10;0.3333333333333333
39;0;1.0
39;1;1.0
39;2;0.6666666666666666
39;3;0.3333333333333333
39;4;0.16666666666666666
39;5;0.0
39;6;0.5
39;7;0.16666666666666666
39;8;0.3333333333333333
39;9;0.3333333333333333
39;10;0.16666666666666666
40;0;1.0
40;1;1.0
40;2;1.0
40;3;0.6666666666666666
40;4;0.8333333333333334
40;5;0.6666666666666666
40;6;0.16666666666666666
40;7;0.0
40;8;0.16666666666666666
40;9;0.16666666666666666
40;10;0.5
41;0;1.0
41;1;1.0
41;2;0.5
41;3;0.5
41;4;0.3333333333333333
41;5;0.16666666666666666
41;6;0.3333333333333333
41;7;0.16666666666666666
41;8;0.3333333333333333
41;9;0.16666666666666666
41;10;0.16666666666666666
42;0;1.0
42;1;0.8333333333333334
42;2;1.0
42;3;0.3333333333333333
42;4;0.6666666666666666
42;5;0.3333333333333333
42;6;0.3333333333333333
42;7;0.0
42;8;0.0
42;9;0.0
42;10;0.0
43;0;1.0
43;1;1.0
43;2;0.5
43;3;0.0
43;4;0.0
43;5;0.5
43;6;0.6666666666666666
43;7;0.3333333333333333
43;8;0.5
43;9;0.16666666666666666
43;10;0.16666666666666666
44;0;1.0
44;1;0.8333333333333334
44;2;0.6666666666666666
44;3;0.3333333333333333
44;4;0.5
44;5;0.16666666666666666
44;6;0.16666666666666666
44;7;0.16666666666666666
44;8;0.16666666666666666
44;9;0.16666666666666666
44;10;0.3333333333333333
45;0;1.0
45;1;1.0
45;2;0.3333333333333333
45;3;0.16666666666666666
45;4;0.0
45;5;0.0
45;6;0.16666666666666666
45;7;0.3333333333333333
45;8;0.16666666666666666
45;9;0.0
45;10;0.0
